student_id,course_code,internal_marks,external_marks,total_marks,grade,grading_date
STU001,CS101,35,62,97,A,2023-04-30
STU001,CS102,32,58,90,A,2023-09-30
STU001,CS201,38,65,103,S,2024-04-30
STU002,CS101,30,55,85,B,2023-04-30
STU002,CS102,28,52,80,B,2023-09-30
STU002,CS201,35,60,95,A,2024-04-30
STU003,EC101,32,60,92,A,2023-04-30
STU003,EC102,30,58,88,B,2023-09-30
STU004,ME101,28,52,80,B,2023-04-30
STU004,ME102,32,58,90,A,2023-09-30
STU005,CS101,36,64,100,S,2023-04-30
STU005,CS102,34,61,95,A,2023-09-30
STU006,EC101,33,61,94,A,2023-04-30
STU006,EC102,31,57,88,B,2023-09-30
STU007,ME101,29,54,83,B,2023-04-30
STU008,CE101,30,56,86,B,2023-04-30
STU008,CE102,32,59,91,A,2023-09-30
STU009,CS201,36,63,99,A,2024-04-30
STU010,EC201,31,59,90,A,2024-04-30
